epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.2146,0.67694,2.85589,1.15678,0.00374,0.97619,0.53104,0.4316,0.61538,3.48823,1.09892,0.00015003,0.00015003,0.00015003
2,119.815,0.58339,1.93721,1.05982,1,0.1903,0.63275,0.5025,0.79967,3.2725,1.31433,0.000301052,0.000301052,0.000301052
3,178.32,0.62149,1.61518,1.08302,0.84487,0.37789,0.72701,0.61388,0.69132,2.84899,1.1703,0.00043557,0.00043557,0.00043557
4,232.218,0.65245,1.40236,1.11028,0.80961,0.56553,0.84138,0.69018,0.72372,2.73275,1.16,0.000553586,0.000553586,0.000553586
5,293.22,0.62917,1.25947,1.06416,0.65601,0.6647,0.79098,0.65608,0.74116,2.39419,1.20326,0.000655098,0.000655098,0.000655098
6,354.766,0.63876,1.21164,1.07282,0.92589,0.68571,0.80865,0.67769,0.87116,2.37309,1.41678,0.000740106,0.000740106,0.000740106
7,417.124,0.61416,1.21945,1.04791,0.8441,0.6419,0.73202,0.59596,1.27876,2.6711,1.90733,0.000808612,0.000808612,0.000808612
8,479.612,0.62496,1.21096,1.05427,0.93018,0.75333,0.80422,0.65463,1.00589,2.2393,1.4621,0.000860614,0.000860614,0.000860614
9,544.398,0.63387,1.15998,1.06424,0.98893,0.8027,0.85094,0.70863,0.84057,2.03438,1.30901,0.000896113,0.000896113,0.000896113
10,606.982,0.61258,1.1035,1.05651,0.90479,0.8026,0.87107,0.72118,0.81529,1.82447,1.27285,0.000915108,0.000915108,0.000915108
11,670.265,0.56319,1.55615,1.04178,0.83701,0.70669,0.78788,0.63535,0.87763,2.48897,1.26401,0.000841835,0.000841835,0.000841835
12,733.063,0.54386,1.50166,1.01716,0.89224,0.6581,0.82978,0.68631,0.80198,2.29719,1.21581,0.000759318,0.000759318,0.000759318
13,795.434,0.5044,1.29673,1.00591,0.81389,0.69644,0.84822,0.7028,0.80554,2.65149,1.22982,0.000676802,0.000676802,0.000676802
14,858.424,0.47748,1.22919,0.98621,0.87461,0.72148,0.89102,0.73576,0.76194,2.16972,1.13462,0.000594286,0.000594286,0.000594286
15,921.498,0.45546,1.15517,0.93849,0.89306,0.79714,0.88518,0.72737,0.78982,1.85532,1.19011,0.000511769,0.000511769,0.000511769
16,986.632,0.45205,1.12634,0.93986,0.7909,0.86476,0.90644,0.75374,0.78,1.57456,1.22454,0.000429253,0.000429253,0.000429253
17,1049.92,0.41342,1.04718,0.906,0.94205,0.86476,0.91582,0.77143,0.78904,1.43038,1.25193,0.000346736,0.000346736,0.000346736
18,1112.86,0.40684,1.02974,0.92695,0.95771,0.86857,0.92788,0.77489,0.7736,1.32631,1.25598,0.00026422,0.00026422,0.00026422
19,1175.46,0.3662,0.9839,0.86982,0.96543,0.86857,0.93789,0.80255,0.75601,1.33467,1.23421,0.000181703,0.000181703,0.000181703
20,1238.43,0.37244,0.97973,0.89875,0.97671,0.83583,0.94139,0.79999,0.73093,1.36754,1.20608,9.91865e-05,9.91865e-05,9.91865e-05
